,City Name,Package,Variety,Origin,Item Size,Color
2,BALTIMORE,24 inch bins,HOWDEN TYPE,DELAWARE,med,ORANGE
3,BALTIMORE,24 inch bins,HOWDEN TYPE,VIRGINIA,med,ORANGE
4,BALTIMORE,24 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
5,BALTIMORE,24 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
6,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
7,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
8,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
9,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
10,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
11,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
12,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
13,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
14,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
15,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
16,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
17,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
18,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,sml,ORANGE
19,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,xlge,ORANGE
20,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
21,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
22,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
23,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med-lge,ORANGE
24,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med-lge,ORANGE
25,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
26,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med-lge,ORANGE
70,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,med,ORANGE
71,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,sml,ORANGE
72,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,sml,ORANGE
73,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,OHIO,med,ORANGE
75,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,sml,ORANGE
76,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,OHIO,med,ORANGE
79,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,OHIO,med,ORANGE
82,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,OHIO,med,ORANGE
85,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,OHIO,med,ORANGE
87,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,MARYLAND,med,ORANGE
88,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,med,ORANGE
89,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,MARYLAND,med,ORANGE
90,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,PENNSYLVANIA,med,ORANGE
91,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,DELAWARE,med,ORANGE
92,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,PENNSYLVANIA,med,ORANGE
93,BALTIMORE,24 inch bins,PIE TYPE,VIRGINIA,sml,ORANGE
94,BALTIMORE,24 inch bins,PIE TYPE,MARYLAND,sml,ORANGE
95,BALTIMORE,24 inch bins,PIE TYPE,MARYLAND,sml,ORANGE
104,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
105,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,lge,WHITE
106,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,med,WHITE
108,BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,jbo,WHITE
109,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
110,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,lge,WHITE
111,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,med,WHITE
112,BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,jbo,WHITE
113,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
114,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,lge,WHITE
115,BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,jbo,WHITE
116,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
117,BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,jbo,WHITE
118,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
119,BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,jbo,WHITE
123,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
124,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
125,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
126,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
127,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
128,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
129,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
130,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
131,BALTIMORE,1/2 bushel cartons,MINIATURE,VIRGINIA,sml,WHITE
132,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
133,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
134,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
135,BALTIMORE,1/2 bushel cartons,MINIATURE,VIRGINIA,sml,WHITE
136,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
137,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
138,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
139,BALTIMORE,1/2 bushel cartons,MINIATURE,VIRGINIA,sml,WHITE
140,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
141,BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,WHITE
142,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
143,BALTIMORE,1/2 bushel cartons,MINIATURE,VIRGINIA,sml,WHITE
144,BALTIMORE,1/2 bushel cartons,MINIATURE,OHIO,sml,WHITE
153,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
154,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
155,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
156,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
157,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
158,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
159,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
160,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
161,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
162,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
163,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
164,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
165,ATLANTA,24 inch bins,HOWDEN TYPE,ALABAMA,med,ORANGE
166,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
167,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
168,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
169,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
170,ATLANTA,24 inch bins,HOWDEN TYPE,ALABAMA,med,ORANGE
171,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
172,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
173,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
174,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
175,ATLANTA,24 inch bins,HOWDEN TYPE,ALABAMA,med,ORANGE
176,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
177,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
178,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
179,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
180,ATLANTA,24 inch bins,HOWDEN TYPE,ALABAMA,med,ORANGE
181,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
182,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
183,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,ORANGE
184,ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,sml,ORANGE
185,ATLANTA,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
186,ATLANTA,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,ORANGE
187,ATLANTA,36 inch bins,HOWDEN TYPE,TENNESSEE,lge,ORANGE
210,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
211,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
212,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
213,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
214,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
215,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
216,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
217,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
218,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
219,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
220,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
221,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
222,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
223,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
224,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
225,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
226,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
227,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
228,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
229,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
230,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
231,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
232,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
233,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
234,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
235,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
236,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
237,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
238,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
239,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
240,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
241,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
242,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
243,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
244,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
245,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
246,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
247,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
248,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
249,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
250,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
251,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
252,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
253,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
254,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
255,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
256,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
257,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
258,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
259,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
260,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
261,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
262,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
263,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
264,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
265,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
266,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
267,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
268,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
269,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
270,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
271,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
272,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
273,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
274,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
275,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
276,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
277,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
278,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
279,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
280,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
281,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
282,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
283,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
284,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
285,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
286,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
287,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
288,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
289,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
290,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
291,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
292,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
293,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
294,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
295,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
296,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
297,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
298,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
299,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
300,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
301,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
302,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
303,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
304,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
305,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,ORANGE
306,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,ORANGE
307,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
308,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,ORANGE
309,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
310,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,ORANGE
311,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med-lge,ORANGE
312,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,ORANGE
313,BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,ORANGE
314,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
315,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
316,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
317,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
318,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
319,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
320,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
321,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
322,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,ORANGE
323,BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
324,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
325,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
326,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
327,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med-lge,ORANGE
328,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,med,ORANGE
329,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,sml,ORANGE
330,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
331,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
332,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
333,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
334,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
335,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,ORANGE
336,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,jbo,ORANGE
337,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,ORANGE
338,BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,lge,ORANGE
339,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,jbo,ORANGE
340,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,ORANGE
341,BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,ORANGE
342,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,ORANGE
343,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,WHITE
344,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,ORANGE
345,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,WHITE
346,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,WHITE
347,BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,ORANGE
